Train=True,epoch,epoch_examples,sample=(batch_idx * len(data)),loss,lr,rc
train,14,126444,0.742467,None,[0.0001],None
train,14,126666,0.517733,None,[0.0001],None
train,14,126888,0.620373,None,[0.0001],None
train,14,127110,0.673105,None,[0.0001],None
train,14,127332,0.696243,None,[0.0001],None
train,14,127554,0.707458,None,[0.0001],None
train,14,127776,0.721057,None,[0.0001],None
train,14,127998,0.75028,None,[0.0001],None
train,14,128220,0.634043,None,[0.0001],None
train,14,128442,0.583154,None,[0.0001],None
train,14,128664,0.554931,None,[0.0001],None
train,14,128886,0.690916,None,[0.0001],None
train,14,129108,0.666685,None,[0.0001],None
train,14,129330,0.663038,None,[0.0001],None
train,14,129552,0.682678,None,[0.0001],None
train,14,129774,0.667161,None,[0.0001],None
train,14,129996,0.62267,None,[0.0001],None
train,14,130218,0.691,None,[0.0001],None
train,14,130440,0.727851,None,[0.0001],None
train,14,130662,0.652347,None,[0.0001],None
train,14,130884,0.607404,None,[0.0001],None
train,14,131106,0.691976,None,[0.0001],None
train,14,131328,0.662234,None,[0.0001],None
train,14,131550,0.70537,None,[0.0001],None
train,14,131772,0.648297,None,[0.0001],None
train,14,131994,0.632189,None,[0.0001],None
train,14,132216,0.724881,None,[0.0001],None
train,14,132438,0.648107,None,[0.0001],None
train,14,132660,0.621329,None,[0.0001],None
train,14,132882,0.676641,None,[0.0001],None
train,14,133104,0.675185,None,[0.0001],None
train,14,133326,0.651037,None,[0.0001],None
train,14,133548,0.627747,None,[0.0001],None
train,14,133770,0.627195,None,[0.0001],None
train,14,133992,0.619082,None,[0.0001],None
train,14,134214,0.626931,None,[0.0001],None
train,14,134436,0.575999,None,[0.0001],None
train,14,134658,0.592963,None,[0.0001],None
train,14,134658,0.592963,0.511826196,[0.0001],None
val,14,None,0.673470047,0.505428994,None,0.168199943
train,15,135000,0.660382,None,[0.0001],None
train,15,135222,0.613579,None,[0.0001],None
train,15,135444,0.666953,None,[0.0001],None
train,15,135666,0.564556,None,[0.0001],None
train,15,135888,0.558134,None,[0.0001],None
train,15,136110,0.624304,None,[0.0001],None
train,15,136332,0.661247,None,[0.0001],None
train,15,136554,0.643243,None,[0.0001],None
train,15,136776,0.710365,None,[0.0001],None
train,15,136998,0.686945,None,[0.0001],None
train,15,137220,0.634041,None,[0.0001],None
train,15,137442,0.71525,None,[0.0001],None
train,15,137664,0.718257,None,[0.0001],None
train,15,137886,0.658142,None,[0.0001],None
train,15,138108,0.637312,None,[0.0001],None
train,15,138330,0.612504,None,[0.0001],None
